study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA842889	SAMN28690381	SRX15537782	SRR19484965	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/065/SRR19484965/SRR19484965.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/065/SRR19484965
PRJNA842889	SAMN28690380	SRX15537781	SRR19484966	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/066/SRR19484966/SRR19484966.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/066/SRR19484966
PRJNA842889	SAMN28690379	SRX15537780	SRR19484967	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/067/SRR19484967/SRR19484967.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/067/SRR19484967
PRJNA842889	SAMN28690378	SRX15537779	SRR19484968	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/068/SRR19484968/SRR19484968.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/068/SRR19484968
PRJNA842889	SAMN28690377	SRX15537778	SRR19484969	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/069/SRR19484969/SRR19484969.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/069/SRR19484969
PRJNA842889	SAMN28690376	SRX15537777	SRR19484970	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/070/SRR19484970/SRR19484970.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/070/SRR19484970
PRJNA842889	SAMN28690375	SRX15537776	SRR19484971	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/071/SRR19484971/SRR19484971.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/071/SRR19484971
PRJNA842889	SAMN28690087	SRX15537775	SRR19484972	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/072/SRR19484972/SRR19484972.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/072/SRR19484972
PRJNA842889	SAMN28690374	SRX15537774	SRR19484973	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/073/SRR19484973/SRR19484973.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/073/SRR19484973
PRJNA842889	SAMN28690373	SRX15537773	SRR19484974	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/074/SRR19484974/SRR19484974.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/074/SRR19484974
PRJNA842889	SAMN28690372	SRX15537772	SRR19484975	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/075/SRR19484975/SRR19484975.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/075/SRR19484975
